"","Protein.ID","Uniprot","Protein.names","fc5"
"17","CHOYP_BRAFLDRAFT_221898.1.2|m.28353","Q68CZ1","Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)",-2.25985100456466
"5265","CHOYP_PYRG1.1.1|m.13552","Q6PEI7","CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)",-2.4594316186373
"5328","CHOYP_BRAFLDRAFT_121105.1.1|m.41883","Q32NR4","Tetratricopeptide repeat protein 29 (TPR repeat protein 29)",-2.32192809488736
"5392","CHOYP_LOC100116717.2.2|m.30034","Q9BZM1","Group XIIA secretory phospholipase A2 (GXII sPLA2) (sPLA2-XII) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 12A)",3.0896936467371
"5400","CHOYP_LOC100232142.1.1|m.19194","Q96PE7","Methylmalonyl-CoA epimerase, mitochondrial (EC 5.1.99.1) (DL-methylmalonyl-CoA racemase)",2
"5434","CHOYP_LOC100642881.1.1|m.14183","Q8NCN5","Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (PDPr)",-4.61643218977614
"5450","CHOYP_LOC593529.1.1|m.59343","Q4KM30","Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Protein FAM152B)",-2.70951129135145
"5483","CHOYP_PHYD1.1.2|m.17822","Q0IIB1","Phytanoyl-CoA dioxygenase domain-containing protein 1 (EC 1.-.-.-)",-2.25985100456466
"5597","CHOYP_LOC100371590.1.1|m.64405","Q2YDN4","Coiled-coil domain-containing protein 105",-2.70951129135145
"5774","CHOYP_LOC100378099.1.1|m.22676","Q7LBC6","Lysine-specific demethylase 3B (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA)",-2.70951129135145
"5779","CHOYP_LOC100533455.1.9|m.3607","P42577","Soma ferritin (EC 1.16.3.1)",2.25985100456466
"5821","CHOYP_NCAH.1.5|m.8672","P74148","Universal stress protein Sll1388 (USP Sll1388)",-2.25985100456466
"5886","CHOYP_AGAP_AGAP004885.1.1|m.29831","B1AR13","CDGSH iron-sulfur domain-containing protein 3, mitochondrial (Melanoma nuclear protein 13)",-2.25985100456466
"5902","CHOYP_BRAFLDRAFT_126923.1.1|m.5580","Q95LS7","Coiled-coil domain-containing protein 96",-2.16992500144231
"5911","CHOYP_BRAFLDRAFT_72035.1.1|m.48832","Q5R630","Adaptin ear-binding coat-associated protein 1 (NECAP endocytosis-associated protein 1) (NECAP-1)",-2
"5920","CHOYP_C1QL4L.3.7|m.5967","Q5RJ80","Caprin-2 (RNA granule protein 140)",-4.41902258270291
"5927","CHOYP_DDX42.2.2|m.54450","Q7ZY47","ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42)",2
"5932","CHOYP_DPF2.1.2|m.6678","Q61103","Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)",-2.25985100456466
"5976","CHOYP_LOC100367460.1.1|m.62925","Q8YTC2","Uncharacterized WD repeat-containing protein alr2800",-2
"5994","CHOYP_LOC100373990.1.1|m.6259","B4F7A7","Centrosomal protein of 57 kDa (Cep57) (Translokin)",-2.70951129135145
"6060","CHOYP_ND1.4.5|m.42588","Q9ER88","28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3)",-2.70951129135145
"6101","CHOYP_UBE4A.2.2|m.59113","A5PKG6","Ubiquitin conjugation factor E4 A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 A)",-2
"6103","CHOYP_UBXN4.1.1|m.22642","Q5R4I3","UBX domain-containing protein 4 (UBX domain-containing protein 2)",-2.25985100456466
"6180","CHOYP_ELMO1.1.1|m.59285","Q96JJ3","Engulfment and cell motility protein 2 (Protein ced-12 homolog A) (hCed-12A)",-3.0896936467371
"6190","CHOYP_HSP21.4.1.1|m.8171","P12812","Major egg antigen (p40)",-3.41902258270291
"6195","CHOYP_ISCW_ISCW014880.1.1|m.27977","Q7L7X3","Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)",-2.70951129135145
"6205","CHOYP_LOC100370672.1.1|m.54509","Q505F5","Leucine-rich repeat-containing protein 47",-2.25985100456466
"6294","CHOYP_SI_CH211-197G15.7.3.3|m.61063","Q53G44","Interferon-induced protein 44-like",-3.41902258270291
"6322","CHOYP_AGAP_AGAP004136.3.3|m.44420","P62864","40S ribosomal protein S30",-2.25985100456466
"6325","CHOYP_BDH2.2.2|m.57286","Q48230","Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1 (CDP-ribitol synthase) [Includes: Ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40); Ribulose-5-phosphate reductase (Ribulose-5-P reductase) (EC 1.1.1.137) (Ribitol-5-phosphate dehydrogenase)]",-4.20442612236725
"6378","CHOYP_LOC100122067.1.1|m.49811","Q9BYD6","39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1) (Mitochondrial large ribosomal subunit protein uL1m)",-3.96936229591612
"6418","CHOYP_LOC100567969.1.1|m.26460","P36876","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform BRA) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)",-2.04280378682109
"6421","CHOYP_LOC100635694.1.1|m.24761","P55008","Allograft inflammatory factor 1 (AIF-1) (Ionized calcium-binding adapter molecule 1) (Protein G1)",2.25985100456466
"6468","CHOYP_NPL.1.3|m.4064","B0C142","4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)",-2.16992500144231
"6516","CHOYP_contig_024742|m.28122","None","None",-3.41902258270291
"6564","CHOYP_PSTA.2.2|m.9655","None","None",-2.25985100456466
"6574","CHOYP_C1QL4L.6.7|m.26358","None","None",-2.25985100456466
"6653","CHOYP_ECHVI_0367.2.2|m.16808","None","None",2
"6690","CHOYP_IMSP5.1.2|m.5157","None","None",-2.25985100456466
"6700","CHOYP_BM8F.2.2|m.35731","None","None",-2
"6711","CHOYP_BRAFLDRAFT_125501.1.1|m.30916","None","None",-2.16992500144231
"6888","CHOYP_TBA3.1.1|m.5111","None","None",-2.03017549073904
"6892","CHOYP_ISCW_ISCW016148.3.6|m.54385","None","None",-2
"6893","CHOYP_contig_053787|m.64362","None","None",2.58496250072116
"6901","CHOYP_TEKT5.1.1|m.60033","None","None",-2.01612652020021
"6969","CHOYP_LOC100933241.16.45|m.30626","None","None",2.25985100456466
"6973","CHOYP_LCP2.12.14|m.40093","None","None",2.12368201637836
"6991","CHOYP_TVAG_407710.4.4|m.62673","None","None",3.70951129135145
"7031","CHOYP_contig_003882|m.4416","None","None",-2.25985100456466
"7134","CHOYP_LOC100366470.2.2|m.64705","None","None",2.25985100456466
"7257","CHOYP_SPI2.8.37|m.4837","None","None",-2.25985100456466
"7273","CHOYP_contig_025167|m.28650","None","None",-3.41902258270291
"7292","CHOYP_contig_026238|m.29873","None","None",-3.0896936467371
"7302","CHOYP_contig_004993|m.5721","None","None",3.96936229591612
"7306","CHOYP_CATL1.1.1|m.56906","None","None",-2
"7439","CHOYP_LOC100378969.2.2|m.31240","None","None",-2.70951129135145
"7511","CHOYP_CAOG_04643.2.2|m.50992","None","None",-2.70951129135145
"7548","CHOYP_LOC664527.1.1|m.16232","None","None",2.25985100456466
"7593","CHOYP_LNTL-1.1.2|m.10782","None","None",-2.70951129135145
"7637","CHOYP_SC6A5.3.7|m.20491","None","None",-3.0896936467371
"7777","CHOYP_ACT.4.27|m.14034","None","None",2.25985100456466
"7841","CHOYP_EATER.1.1|m.30042","None","None",-2.25985100456466
"8032","CHOYP_NOV.1.2|m.27550","None","None",3.41902258270291
"8044","CHOYP_BRAFLDRAFT_127356.1.2|m.8691","None","None",-2.70951129135145
"8052","CHOYP_SMP_051990.5.7|m.43424","None","None",-2.25985100456466
"8141","CHOYP_PCKG.2.2|m.50139","None","None",-4.61643218977614
"8210","CHOYP_CASP7.17.23|m.52767","None","None",-2.25985100456466
"8338","CHOYP_CALUB.1.2|m.57842","None","None",-2
"8339","CHOYP_contig_036886|m.41498","None","None",3.70951129135145
"8389","CHOYP_NEMVEDRAFT_V1G240563.3.3|m.30812","None","None",-3.0896936467371
"8408","CHOYP_LOC100377200.1.2|m.19811","None","None",-2.25985100456466
"8414","CHOYP_contig_036280|m.40985","None","None",-2
"8440","CHOYP_BRAFLDRAFT_208436.8.32|m.36574","None","None",-2.25985100456466
