"","Protein.ID","Uniprot","Protein.names","fc7"
"39","CHOYP_DGRI_GH20300.1.1|m.57587","Q63ZH8","Protein FAM136A",-2.4594316186373
"4253","CHOYP_ACT5.3.3|m.41147","Q9P7X7","Actin-related protein 4 (Actin-like protein arp4) (Actin-like protein 4) (Altered polarity protein 5)",-3
"4266","CHOYP_BRAFLDRAFT_116088.2.2|m.27531","Q9H0A8","COMM domain-containing protein 4",-3.0896936467371
"4305","CHOYP_CRYM.1.1|m.8544","O54983","Ketimine reductase mu-crystallin (EC 1.5.1.25) (NADP-regulated thyroid-hormone-binding protein)",2.25985100456466
"4327","CHOYP_HYI.1.1|m.10528","Q7T3H9","Putative hydroxypyruvate isomerase (EC 5.3.1.22)",-2.32192809488736
"4365","CHOYP_LOC100378618.1.1|m.48704","Q6ZU80","Centrosomal protein of 128 kDa (Cep128)",-2.25985100456466
"4381","CHOYP_LOC100889564.1.1|m.17149","Q6DF46","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)",-3.0896936467371
"4395","CHOYP_LOC580670.5.6|m.34028","P98072","Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain]",2.25985100456466
"4426","CHOYP_PHUM_PHUM241330.1.3|m.29132","Q4R979","RNA-binding protein 4 (RNA-binding motif protein 4)",-2
"4435","CHOYP_RABGAP1.1.1|m.50532","A2AWA9","Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)",2.25985100456466
"4452","CHOYP_SNUT2.1.1|m.19264","Q3TIX9","U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39)",-2.70951129135145
"4500","CHOYP_BRAFLDRAFT_206907.5.11|m.19273","Q9Y383","Putative RNA-binding protein Luc7-like 2",-2.25985100456466
"4502","CHOYP_BRAFLDRAFT_215789.1.1|m.60405","Q9H0Z9","RNA-binding protein 38 (CLL-associated antigen KW-5) (HSRNASEB) (RNA-binding motif protein 38) (RNA-binding region-containing protein 1) (ssDNA-binding protein SEB4)",-2.25985100456466
"4526","CHOYP_CWC22.1.1|m.29270","Q52KN9","Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog)",-2.25985100456466
"4528","CHOYP_DDX1.1.1|m.46908","Q90WU3","ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1)",-2.16992500144231
"4550","CHOYP_KAT3.1.1|m.49207","Q6YP21","Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III)",-2
"4566","CHOYP_LOC100367949.3.3|m.63228","Q9BXJ4","Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)",-2.25985100456466
"4605","CHOYP_LOC100703289.1.1|m.53585","Q8CF97","Deubiquitinating protein VCIP135 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135)",-3.41902258270291
"4611","CHOYP_LOC100882621.1.2|m.25860","Q8IRG6","FACT complex subunit spt16 (Facilitates chromatin transcription complex subunit SPT16) (dSPT16)",-2.25985100456466
"4625","CHOYP_LOC593741.1.1|m.11514","Q567I9","Cytochrome b5 domain-containing protein 1",-2.16992500144231
"4635","CHOYP_MECR.1.1|m.6989","Q6GQN8","Trans-2-enoyl-CoA reductase, mitochondrial (EC 1.3.1.38)",-2.16992500144231
"4683","CHOYP_AGAP_AGAP005057.1.1|m.62428","Q60ZR7","Resistance to inhibitors of cholinesterase protein 3",2.70951129135145
"4713","CHOYP_CDPKM.1.1|m.58179","P23286","Calmodulin (CaM)",-2.70043971814109
"4734","CHOYP_GAK.1.1|m.7017","O14976","Cyclin-G-associated kinase (EC 2.7.11.1)",-4.20442612236725
"4863","CHOYP_TACC1.2.2|m.53512","Q6Y685","Transforming acidic coiled-coil-containing protein 1",2
"4869","CHOYP_TOP2B.1.1|m.6674","Q64511","DNA topoisomerase 2-beta (EC 5.99.1.3) (DNA topoisomerase II, beta isozyme)",-2.4594316186373
"4877","CHOYP_VOLCADRAFT_93060.1.2|m.3949","O96790","Serine protease inhibitor dipetalogastin (Dipetalin) (Fragment)",-2.70951129135145
"4881","CHOYP_YMS5.1.1|m.5494","P34501","Uncharacterized protein K03H1.5",-2.58496250072116
"4974","CHOYP_LOC100121687.1.1|m.57141","Q14202","Zinc finger MYM-type protein 3 (Zinc finger protein 261)",-2.4594316186373
"5044","CHOYP_LOC659512.4.4|m.31246","Q5R941","Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (FK506-binding protein 14) (FKBP-14) (Rotamase)",-3.41902258270291
"5046","CHOYP_LOC663375.1.1|m.11969","Q80W03","TOX high mobility group box family member 3 (Trinucleotide repeat-containing gene 9 protein)",-2
"5123","CHOYP_BRAFLDRAFT_88506.1.1|m.64174","Q3SX22","BSD domain-containing protein 1",-2.25985100456466
"5128","CHOYP_CAN5.1.1|m.42243","P80404","4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",-4.41902258270291
"5166","CHOYP_LOC100115776.1.1|m.24729","Q921I2","Kelch domain-containing protein 4",-2.70951129135145
"5184","CHOYP_LOC100370913.1.1|m.19909","O15084","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK)",-2.04743388970235
"5201","CHOYP_LOC100638860.2.2|m.44785","O28987","Uncharacterized protein AF_1281",2.32192809488736
"5265","CHOYP_PYRG1.1.1|m.13552","Q6PEI7","CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)",2
"5266","CHOYP_R3HDM1.1.1|m.36018","Q15032","R3H domain-containing protein 1",-2.25985100456466
"5280","CHOYP_SAHH3.2.2|m.51221","A3PFB5","Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)",-2.55172858507268
"5361","CHOYP_CIAO1.1.1|m.48324","A7RWD2","Probable cytosolic iron-sulfur protein assembly protein CIAO1 homolog",-4.20442612236725
"5367","CHOYP_CSTF3.1.1|m.10636","Q12996","Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)",-3.0896936467371
"5396","CHOYP_LOC100181355.1.1|m.48652","Q9BXF9","Tektin-3",-2.70043971814109
"5443","CHOYP_LOC566887.1.1|m.45765","Q5SZD4","Glycine N-acyltransferase-like protein 3 (EC 2.3.1.-)",-2.25985100456466
"5460","CHOYP_MCEE.1.1|m.62224","Q96PE7","Methylmalonyl-CoA epimerase, mitochondrial (EC 5.1.99.1) (DL-methylmalonyl-CoA racemase)",-2.25985100456466
"5461","CHOYP_MEST.2.2|m.55065","Q6GQN0","Centrosomal protein of 41 kDa (Cep41) (Testis-specific gene A14 protein)",-2
"5469","CHOYP_NASP.2.4|m.13404","Q02508","Protein HGV2",-2.52371901428583
"5545","CHOYP_CBLN3.1.2|m.29253","Q2KIX7","Protein HP-25 homolog 1",-4.61643218977614
"5580","CHOYP_ISCW_ISCW013378.2.3|m.11858","Q8CJG0","Protein argonaute-2 (Argonaute2) (mAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Piwi/argonaute family protein meIF2C2) (Protein slicer)",-2
"5581","CHOYP_ISCW_ISCW014481.1.1|m.61217","P56524","Histone deacetylase 4 (HD4) (EC 3.5.1.98)",-2
"5613","CHOYP_LOC100640618.1.1|m.4378","Q5U3U0","Phytanoyl-CoA dioxygenase domain-containing protein 1 (EC 1.-.-.-)",2.25985100456466
"5644","CHOYP_NMT2.1.2|m.10421","O60551","Glycylpeptide N-tetradecanoyltransferase 2 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 2) (NMT 2) (Peptide N-myristoyltransferase 2) (Type II N-myristoyltransferase)",-2.13460065205976
"5654","CHOYP_PPIE.1.1|m.18580","Q5R723","Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Rotamase E)",-2
"5674","CHOYP_UBA3.1.1|m.59856","Q8C878","NEDD8-activating enzyme E1 catalytic subunit (EC 6.3.2.-) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3)",-2.25985100456466
"5681","CHOYP_ABCE1.2.2|m.42246","P61222","ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)",-2.70043971814109
"5750","CHOYP_KDEL1.1.1|m.62729","Q6UW63","KDEL motif-containing protein 1 (Endoplasmic reticulum resident protein 58) (ER protein 58) (ERp58)",-2
"5781","CHOYP_LOC100567407.1.1|m.8503","Q5RB75","NudC domain-containing protein 3",-2.25985100456466
"5832","CHOYP_PCP.1.1|m.59309","Q2TA14","Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)",-4.20442612236725
"5863","CHOYP_THERJR_2510.1.1|m.38407","Q4R4Z9","Acyl-CoA synthetase family member 2, mitochondrial (EC 6.2.1.-)",-3.0896936467371
"5907","CHOYP_BRAFLDRAFT_275667.1.1|m.17353","Q9P2H3","Intraflagellar transport protein 80 homolog (WD repeat-containing protein 56)",-2.25985100456466
"5932","CHOYP_DPF2.1.2|m.6678","Q61103","Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)",-2.25985100456466
"5966","CHOYP_LOC100169460.1.1|m.41302","Q9UJZ1","Stomatin-like protein 2, mitochondrial (SLP-2) (EPB72-like protein 2) (Paraprotein target 7) (Paratarg-7)",-2
"5969","CHOYP_LOC100186733.1.1|m.7066","Q5XIA9","Kelch domain-containing protein 8B",-2.12368201637836
"5976","CHOYP_LOC100367460.1.1|m.62925","Q8YTC2","Uncharacterized WD repeat-containing protein alr2800",-4.79920493808856
"5991","CHOYP_LOC100372881.1.1|m.4636","Q29RK9","MOB kinase activator 3B (Mob1 homolog 2b) (Mps one binder kinase activator-like 2B)",-3.41902258270291
"6021","CHOYP_LOC100878391.1.1|m.28644","O35094","Mitochondrial import inner membrane translocase subunit TIM44",-2.16992500144231
"6066","CHOYP_NSUN2.1.1|m.14138","Q08J23","tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)",-2.4594316186373
"6090","CHOYP_SSPO.11.14|m.53093","Q06852","Cell surface glycoprotein 1 (Outer layer protein B) (S-layer protein 1)",-2.8073549220576
"6121","CHOYP_BRAFLDRAFT_113596.1.1|m.53557","A4IGP0","Protein Hikeshi",-2.25985100456466
"6134","CHOYP_BRAFLDRAFT_128460.1.2|m.7232","Q7Z4L5","Tetratricopeptide repeat protein 21B (TPR repeat protein 21B) (Intraflagellar transport 139 homolog)",-2.70951129135145
"6214","CHOYP_LOC100374249.1.1|m.58296","Q4G0X9","Coiled-coil domain-containing protein 40",-4.20442612236725
"6263","CHOYP_MP2K4.1.1|m.10635","P47809","Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (C-JUN N-terminal kinase kinase 1) (JNK kinase 1) (JNKK 1) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1)",-2.25985100456466
"6283","CHOYP_PRPF4.1.1|m.62194","O43172","U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)",-2.16992500144231
"6312","CHOYP_WDR12.1.1|m.13380","B7PY76","Ribosome biogenesis protein WDR12 homolog",-2
"6325","CHOYP_BDH2.2.2|m.57286","Q48230","Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1 (CDP-ribitol synthase) [Includes: Ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40); Ribulose-5-phosphate reductase (Ribulose-5-P reductase) (EC 1.1.1.137) (Ribitol-5-phosphate dehydrogenase)]",-2.16992500144231
"6409","CHOYP_LOC100378844.1.4|m.7322","B5X5D0","UPF0691 protein C9orf116 homolog",-2.16992500144231
"6418","CHOYP_LOC100567969.1.1|m.26460","P36876","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform BRA) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)",2
"6421","CHOYP_LOC100635694.1.1|m.24761","P55008","Allograft inflammatory factor 1 (AIF-1) (Ionized calcium-binding adapter molecule 1) (Protein G1)",-2.25985100456466
"6516","CHOYP_contig_024742|m.28122","None","None",-2.32192809488736
"6584","CHOYP_LOC100373351.1.3|m.49572","None","None",-3.70951129135145
"6785","CHOYP_TBA1.2.9|m.9962","None","None",-2.21317902266045
"6820","CHOYP_OCDH.1.1|m.1284","None","None",-4.41902258270291
"6891","CHOYP_MYCBP2.1.1|m.27070","None","None",-2.70951129135145
"6927","CHOYP_FABP6.2.2|m.59518","None","None",2.58496250072116
"6978","CHOYP_contig_026949|m.30663","None","None",-3.0896936467371
"7031","CHOYP_contig_003882|m.4416","None","None",-2.16992500144231
"7255","CHOYP_ZN330.1.2|m.7843","None","None",-2.70951129135145
"7273","CHOYP_contig_025167|m.28650","None","None",3.41902258270291
"7275","CHOYP_FUCO.1.2|m.58756","None","None",-2.58496250072116
"7277","CHOYP_contig_004594|m.5279","None","None",-3.0896936467371
"7303","CHOYP_KCP.3.13|m.17018","None","None",2.16992500144231
"7314","CHOYP_AGRIN.3.5|m.5652","None","None",-3.0896936467371
"7361","CHOYP_contig_014479|m.16604","None","None",2.25985100456466
"7405","CHOYP_CASP10.5.7|m.49889","None","None",2.70951129135145
"7430","CHOYP_contig_024357|m.27696","None","None",-2.25985100456466
"7439","CHOYP_LOC100378969.2.2|m.31240","None","None",-3.0896936467371
"7455","CHOYP_LOC100485247.1.1|m.37690","None","None",2.25985100456466
"7511","CHOYP_CAOG_04643.2.2|m.50992","None","None",-2.25985100456466
"7598","CHOYP_SMP_051990.1.7|m.327","None","None",-3.0896936467371
"7614","CHOYP_contig_016405|m.19312","None","None",-4.41902258270291
"7621","CHOYP_contig_033356|m.38032","None","None",2.25985100456466
"7688","CHOYP_DMBT1.3.34|m.3602","None","None",2.25985100456466
"7728","CHOYP_LOC100899732.1.1|m.26595","None","None",-2.16992500144231
"7798","CHOYP_LTOR2.2.2|m.61709","None","None",-2.25985100456466
"7836","CHOYP_contig_031485|m.35969","None","None",-2.25985100456466
"7897","CHOYP_contig_017060|m.20058","None","None",-2.70951129135145
"7960","CHOYP_BRAFLDRAFT_127065.5.7|m.28848","None","None",2.8073549220576
"7967","CHOYP_contig_023673|m.26924","None","None",-2.70951129135145
"7971","CHOYP_CASP7.9.23|m.25523","None","None",2.70951129135145
"8000","CHOYP_LOC101067281.1.2|m.14666","None","None",-2
"8012","CHOYP_HN1L.2.2|m.9837","None","None",-2.2990172878644
"8123","CHOYP_contig_055102|m.65741","None","None",-3.0896936467371
"8141","CHOYP_PCKG.2.2|m.50139","None","None",-3.70951129135145
"8183","CHOYP_contig_010639|m.12333","None","None",-2.25985100456466
"8193","CHOYP_contig_023752|m.27015","None","None",-3.70951129135145
"8257","CHOYP_LOC660225.1.1|m.35197","None","None",-3.70951129135145
"8293","CHOYP_RS4.11.11|m.63584","None","None",-2.70951129135145
"8311","CHOYP_PDE6D.1.2|m.6439","None","None",-2.25985100456466
"8353","CHOYP_GBB.2.2|m.35274","None","None",-3.41902258270291
