"","Protein.ID","Uniprot","Protein.names","fc11"
"33","CHOYP_CN166.1.1|m.14529","Q5R8I2","UPF0568 protein C14orf166 homolog",2.70951129135145
"5546","CHOYP_CC1G_13336.1.3|m.23079","O94581","Cytochrome c oxidase subunit 6B (Cytochrome c oxidase polypeptide VIb)",-5.2780525887455
"5605","CHOYP_LOC100376827.1.1|m.60291","Q5RBM1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (EC 2.4.99.18) (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (Ribophorin II) (RPN-II) (Ribophorin-2)",-3.96936229591612
"5609","CHOYP_LOC100533349.3.5|m.52212","Q9VF87","Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1) (DSra-1)",-2.70951129135145
"5674","CHOYP_UBA3.1.1|m.59856","Q8C878","NEDD8-activating enzyme E1 catalytic subunit (EC 6.3.2.-) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3)",-2.25985100456466
"5681","CHOYP_ABCE1.2.2|m.42246","P61222","ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)",2.2990172878644
"5744","CHOYP_ISCW_ISCW017709.1.1|m.30040","Q04757","Body wall muscle protein HR-29",-2.25985100456466
"5745","CHOYP_ISCW_ISCW022021.1.1|m.53168","A2AVA0","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",2.70951129135145
"5755","CHOYP_LOC100177679.1.1|m.54177","P74148","Universal stress protein Sll1388 (USP Sll1388)",3.41902258270291
"5786","CHOYP_LOC100680210.1.1|m.5750","Q02427","RNA-binding protein 1",-2.70951129135145
"5791","CHOYP_LOC100876515.1.2|m.37063","Q8NF91","Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)",-4.49185309632967
"5837","CHOYP_PHUM_PHUM450820.1.1|m.40803","Q5R416","Catenin alpha-2 (Alpha N-catenin)",2.32192809488736
"5857","CHOYP_RTCB.1.2|m.27510","Q6NZS4","tRNA-splicing ligase RtcB homolog (EC 6.5.1.3)",-2.70951129135145
"5864","CHOYP_TMED7.1.3|m.6189","Q9Y3Q3","Transmembrane emp24 domain-containing protein 3 (Membrane protein p24B) (p24 family protein gamma-4) (p24gamma4) (p26)",-2.70951129135145
"5922","CHOYP_CCDC6.1.1|m.13918","Q16204","Coiled-coil domain-containing protein 6 (Papillary thyroid carcinoma-encoded protein) (Protein H4)",2.25985100456466
"5931","CHOYP_DNAH6.2.3|m.21512","Q9NYC9","Dynein heavy chain 9, axonemal (Axonemal beta dynein heavy chain 9) (Ciliary dynein heavy chain 9)",2.4594316186373
"5968","CHOYP_LOC100181095.1.1|m.8314","Q9C093","Sperm flagellar protein 2 (Protein KPL2)",2.4594316186373
"5985","CHOYP_LOC100371176.1.1|m.33995","Q58CP0","Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)",-2.25985100456466
"6087","CHOYP_SMP_159010.1.1.1|m.56000","P26818","Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)",2.4594316186373
"6121","CHOYP_BRAFLDRAFT_113596.1.1|m.53557","A4IGP0","Protein Hikeshi",2.70951129135145
"6134","CHOYP_BRAFLDRAFT_128460.1.2|m.7232","Q7Z4L5","Tetratricopeptide repeat protein 21B (TPR repeat protein 21B) (Intraflagellar transport 139 homolog)",3.0896936467371
"6203","CHOYP_LOC100367645.1.1|m.29695","P21839","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDE1B) (BCKDH E1-beta)",-2
"6312","CHOYP_WDR12.1.1|m.13380","B7PY76","Ribosome biogenesis protein WDR12 homolog",-3.41902258270291
"6325","CHOYP_BDH2.2.2|m.57286","Q48230","Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1 (CDP-ribitol synthase) [Includes: Ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40); Ribulose-5-phosphate reductase (Ribulose-5-P reductase) (EC 1.1.1.137) (Ribitol-5-phosphate dehydrogenase)]",-2.25985100456466
"6406","CHOYP_LOC100376187.2.2|m.55240","P51107","Dihydroflavonol 4-reductase (DFR) (EC 1.1.1.219) (Dihydrokaempferol 4-reductase) (Flavanone 4-reductase) (FNR) (EC 1.1.1.234)",7.73308024100734
"6424","CHOYP_LOC100641267.1.2|m.49206","Q5YW75","Ectoine dioxygenase (EC 1.14.11.-) (Ectoine hydroxylase)",2.8073549220576
"6438","CHOYP_LOC583138.1.1|m.8990","A9UMP7","Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)",-2.25985100456466
"6465","CHOYP_NEMVEDRAFT_V1G97278.2.2|m.63646","Q9JLF6","Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1)",2.25985100456466
"6576","CHOYP_BRAFLDRAFT_76402.1.5|m.22765","None","None",-2.25985100456466
"6637","CHOYP_contig_022863|m.26088","None","None",3.0896936467371
"6677","CHOYP_LOC101079138.1.4|m.4320","None","None",-2.70951129135145
"6700","CHOYP_BM8F.2.2|m.35731","None","None",3.41902258270291
"6711","CHOYP_BRAFLDRAFT_125501.1.1|m.30916","None","None",3.0896936467371
"6728","CHOYP_BRAFLDRAFT_57176.3.5|m.23440","None","None",-2.25985100456466
"6785","CHOYP_TBA1.2.9|m.9962","None","None",6.59526207298991
"6806","CHOYP_ITB1.3.4|m.28565","None","None",2
"6842","CHOYP_contig_047982|m.56715","None","None",3.0896936467371
"6943","CHOYP_BRAFLDRAFT_117275.1.1|m.9900","None","None",2.70951129135145
"7015","CHOYP_contig_018956|m.22217","None","None",-2.25985100456466
"7022","CHOYP_EIF1A.1.1|m.30303","None","None",2
"7082","CHOYP_TBA.1.6|m.12217","None","None",2.58496250072116
"7097","CHOYP_MT.10.18|m.44063","None","None",2.25985100456466
"7170","CHOYP_TBA.5.6|m.37448","None","None",-3.41902258270291
"7273","CHOYP_contig_025167|m.28650","None","None",-2
"7277","CHOYP_contig_004594|m.5279","None","None",2
"7278","CHOYP_contig_053329|m.63915","None","None",-2.32192809488736
"7302","CHOYP_contig_004993|m.5721","None","None",2.70043971814109
"7306","CHOYP_CATL1.1.1|m.56906","None","None",2.70951129135145
"7477","CHOYP_BRAFLDRAFT_126767.1.3|m.6394","None","None",3.41902258270291
"7490","CHOYP_LOC100178400.1.1|m.4321","None","None",2.25985100456466
"7528","CHOYP_TPM.19.19|m.66623","None","None",-5.2780525887455
"7541","CHOYP_contig_051499|m.61590","None","None",-2.25985100456466
"7576","CHOYP_CNE_1C34780.3.3|m.30615","None","None",-3.96936229591612
"7593","CHOYP_LNTL-1.1.2|m.10782","None","None",2.25985100456466
"7641","CHOYP_MUC5A.1.2|m.43407","None","None",-2.4594316186373
"7842","CHOYP_MYSP.1.9|m.1100","None","None",-2.32192809488736
"7948","CHOYP_BRAFLDRAFT_64962.1.1|m.59737","None","None",2.70951129135145
"7967","CHOYP_contig_023673|m.26924","None","None",2.16992500144231
"8010","CHOYP_BRAFLDRAFT_123087.1.2|m.6329","None","None",2.04280378682109
"8133","CHOYP_VRP.2.4|m.18914","None","None",-3.70951129135145
"8227","CHOYP_BRAFLDRAFT_85506.1.1|m.54726","None","None",2.25985100456466
"8338","CHOYP_CALUB.1.2|m.57842","None","None",-2.12368201637836
"8393","CHOYP_contig_015430|m.17979","None","None",-2.25985100456466
"8432","CHOYP_contig_014958|m.17266","None","None",3
